Depth,Sample,Permeability,lPerm,Porosity,PRT,ROCK_INDEX,G1,PD1,G2,PD2,BV1,BV2,Mode,lMode,Reference_Set,Pc,lPc,BVOCC,lBVOCC,dBv,Microns,lMicrons
11,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,1648.64,3.21712583267166,17.1041634646127,1.23310183844001,0.858057721143247,0.128590838509317,-0.89078997174291
12,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,3297.28,3.51815582833564,17.7568953738143,1.2493670357734,0.65273190920157,0.064295419254658,-1.19181996740689
13,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,6594.56,3.81918582399962,18.2786526814787,1.26194418075428,0.521757307664345,0.032147709627329,-1.49284996307087
14,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,13189.12,4.12021581966361,18.7095333737499,1.27206295608725,0.43088069227122,0.016073854813665,-1.79387995873485
15,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,26378.24,4.42124581532759,19.0736282975134,1.28043331494979,0.364094923763535,0.008036927406832,-2.09490995439883
16,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,1.61,0.20682587603185,0.502772381391762,-0.298628587268095,0,131.67701863354,2.1195099848969
17,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,3.22,0.507855871695831,6.27310796988617,0.7974827624811,5.77033558849441,65.8385093167702,1.81847998923292
18,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,6.44,0.808885867359812,10.1679604312429,1.00723384748632,3.89485246135669,32.9192546583851,1.51744999356894
19,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,12.88,1.10991586302379,12.4794794722395,1.09619647099956,2.31151904099665,16.4596273291925,1.21641999790496
20,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,25.76,1.41094585868777,13.9759572205057,1.1453815626298,1.49647774826616,8.22981366459627,0.915390002240977
